name,tris,ngons,has_uv,texel_px_per_m,scale_applied,name_ok,materials,data_name,issues
Actuator_L,60,2,True,1655.6730832097262,True,True,,Cylinder.008,2 ngons; mesh data named Cylinder.008; texel density 125% of target
Actuator_R,60,2,True,1655.6731338314742,True,True,,Cylinder.009,2 ngons; mesh data named Cylinder.009; texel density 125% of target
Axle,60,2,True,1243.5611937836893,True,True,,Cylinder.002,2 ngons; mesh data named Cylinder.002
AxleCap_L,188,2,True,1243.5613824308907,True,True,,Cylinder.037,2 ngons; mesh data named Cylinder.037
AxleCap_R,188,2,True,1243.5612073839575,True,True,,Cylinder.038,2 ngons; mesh data named Cylinder.038
Bolt_Hub,200,20,True,1243.5608791277218,True,True,,Cylinder.022,20 ngons; mesh data named Cylinder.022
Bolt_Hub_R,200,20,True,1243.5609554374405,True,True,,Cylinder.035,20 ngons; mesh data named Cylinder.035
Bolts_Gland,160,16,True,1326.0183353808702,True,True,,Cylinder.023,16 ngons; mesh data named Cylinder.023
Bolts_TorqueLink,984,12,True,2045.9173414417162,True,True,,Cylinder.016,12 ngons; mesh data named Cylinder.016; texel density 154% of target
Collar_Ear_L,108,0,True,2116.1717191160697,True,True,,Cube.005,mesh data named Cube.005; texel density 160% of target
Collar_Ear_R,108,0,True,2116.171607908268,True,True,,Cube.006,mesh data named Cube.006; texel density 160% of target
Drag_Stay,60,2,True,1646.2460374076675,True,True,,Cylinder.010,2 ngons; mesh data named Cylinder.010; texel density 124% of target
HubCap_L,284,2,True,1243.5616521482955,True,True,,Cylinder.021,2 ngons; mesh data named Cylinder.021
HubCap_R,284,2,True,1243.561911857806,True,True,,Cylinder.030,2 ngons; mesh data named Cylinder.030
Light_Housing,12,0,True,2124.402406848989,True,True,,Cube.004,mesh data named Cube.004; texel density 160% of target
Lock_Stay,60,2,True,1648.0149422644768,True,True,,Cylinder.012,2 ngons; mesh data named Cylinder.012; texel density 124% of target
Lug_Axle,284,2,True,2030.8430111510772,True,True,,Cylinder.011,2 ngons; mesh data named Cylinder.011; texel density 153% of target
Lug_Collar,284,2,True,2030.8425107582275,True,True,,Cylinder.007,2 ngons; mesh data named Cylinder.007; texel density 153% of target
Lug_DragStay,108,0,True,2110.253117774909,True,True,,Cube,mesh data named Cube; texel density 159% of target
Lug_LockStay,108,0,True,2107.5032543631214,True,True,,Cube.001,mesh data named Cube.001; texel density 159% of target
Lug_Mid,284,2,True,2030.843391749338,True,True,,Cylinder.006,2 ngons; mesh data named Cylinder.006; texel density 153% of target
Oleo_Gland,380,2,True,1326.0192161254095,True,True,,Cylinder.015,2 ngons; mesh data named Cylinder.015
Piston_L,188,2,True,1647.7867198421975,True,True,,Cylinder.013,2 ngons; mesh data named Cylinder.013; texel density 124% of target
Piston_R,188,2,True,1647.7868569947518,True,True,,Cylinder.014,2 ngons; mesh data named Cylinder.014; texel density 124% of target
Rim_L,532,8,True,1243.5613948924765,True,True,,Cylinder.020,8 ngons; mesh data named Cylinder.020
Rim_R,532,8,True,1243.5613510545372,True,True,,Cylinder.029,8 ngons; mesh data named Cylinder.029
Steering_Collar,124,2,True,1685.4536248735594,True,True,,Cylinder.005,2 ngons; mesh data named Cylinder.005; texel density 127% of target
Strut_Oleo,124,2,True,1326.0188916350403,True,True,,Cylinder.001,2 ngons; mesh data named Cylinder.001
Strut_Outer,124,2,True,1326.0188880300916,True,True,,Cylinder,2 ngons; mesh data named Cylinder
Tire_L,512,0,True,1962.0109603058036,True,True,,Cylinder.003,mesh data named Cylinder.003; texel density 148% of target
Tire_R,512,0,True,1962.010963659892,True,True,,Cylinder.036,mesh data named Cylinder.036; texel density 148% of target
TorqueLink_Lower,220,0,True,2081.437484212037,True,True,,Cube.003,mesh data named Cube.003; texel density 157% of target
TorqueLink_Upper,476,30,True,2102.221395114073,True,True,,Cube.002,30 ngons; mesh data named Cube.002; texel density 159% of target
TowLug_L,108,0,True,1243.5642246576738,True,True,,Cube.009,mesh data named Cube.009
TowLug_R,108,0,True,1243.564620666992,True,True,,Cube.010,mesh data named Cube.010
Trunnion_Arm_L,108,0,True,1326.0199713422614,True,True,,Cube.007,mesh data named Cube.007
Trunnion_Arm_R,108,0,True,1326.0199704160366,True,True,,Cube.008,mesh data named Cube.008
Trunnion_Boss,284,2,True,1326.0192379548814,True,True,,Cylinder.019,2 ngons; mesh data named Cylinder.019
Trunnion_Shaft,380,2,True,1326.0192123957527,True,True,,Cylinder.018,2 ngons; mesh data named Cylinder.018
ValveStem_L,204,2,True,1243.5663264762159,True,True,,Cylinder.017,2 ngons; mesh data named Cylinder.017
ValveStem_R,204,2,True,1243.5667755031,True,True,,Cylinder.032,2 ngons; mesh data named Cylinder.032
